;Data items are separated by 1 space
;Data items header must be listed below, cannot be changed
;Data items header must be consistent and data value
;You can choose a few data items
;The IMSI must be in front of ACC
PIN1 PUK1 PIN2 PUK2 ADM ICCID IMSI ACC MSISDN KI OPC
4108 00005827 4108 00005827 EBFFAA32 000000000000005558 724900000010855 8001 0000014048 da7be278e0239a19bc0687c7ca0f2ac0 d405df87bb5f98e614ec86851d8955f9
1427 00026757 1427 00026757 C738E98D 000000000000013343 724900000031039 8001 0000031799 2c7b4203ccbef48db5fc4b9ba3d9c7d7 545a7767191ebdac6297bf0fbcf2b009
8278 00021394 8278 00021394 B8B2FE98 000000000000013781 724900000018516 8001 0000015289 fc1c5d2e7587d7c467a9b9723e7c8f4b 4310e07053a1b47ea5244cc8707b9548
4800 00031212 4800 00031212 FE7BB678 000000000000020590 724900000017103 8001 0000011769 37e1343c176e2baee6a3ae30e8b1b27b 422603fc8a101033fe501330ec685819
2831 00000494 2831 00000494 21454739 000000000000008075 724900000009437 8001 0000026415 077d026d2306ec0801da3e20aa287f14 7d9fc34cdf175f021e9e132722af1a7c
2188 00018627 2188 00018627 B43FCF99 000000000000018221 724900000021506 8001 0000005929 55e4c5c58d32e4452c41c08e712f6eef 4a7c6f9551f2c6726c9f141ac72d6a41
1275 00008598 1275 00008598 950E45A3 000000000000006078 724900000008996 8001 0000026117 4615faee3f3ebab1b7980f5d3aad298d af3b148cf7f9e2e97428837173bfe6ba
3081 00002770 3081 00002770 ACDE6468 000000000000015233 724900000012178 8001 0000008855 0ff43c012d6f7326d71e1fa31ba05729 1f8e43a121b26094420e649a8d131041
1296 00020635 1296 00020635 779C5F3A 000000000000010993 724900000010850 8001 0000007385 ae723713c3d85086e44d47669a8e5051 4732c20e08b2267ff657690da34c67da
6209 00003437 6209 00003437 19244C4D 000000000000030861 724900000000062 8001 0000024734 3770b2d071e6c909960a97dff4847016 0bec804084d1293aea5b44c86647cf21
2310 00006888 2310 00006888 256A0805 000000000000005319 724900000015788 8001 0000013337 be14eb35a86cc411a3c230403d16c4f7 80a8ec85e0b789fbc6fb82838ed94170
4858 00032264 4858 00032264 7FBF2DF2 000000000000010726 724900000020447 8001 0000006462 59e188723a5d7cda7bfcebfbcc38dab1 64a1c6082f4dc807cf8d6735de1270e6
0878 00005993 0878 00005993 B7BD525F 000000000000025259 724900000027489 8001 0000001059 fcff46bc870171941267e9b609139cd8 782857cc38c4919309632e3b437348ed
0739 00007620 0739 00007620 240AA2B3 000000000000028799 724900000012710 8001 0000016485 e3b4580735510dcecd873e18d8e062e5 73ce07228ef24b0107af50649f98ef74
8971 00018679 8971 00018679 CA7088BD 000000000000010804 724900000012954 8001 0000030662 8cd945f91407ede583183bc035a3e051 3c72147c5427c89c46a6a5b50d1f6cb6
1634 00004070 1634 00004070 0825A0E7 000000000000003669 724900000001567 8001 0000015779 4b4117b50caedf24f8625682a8dc5ceb 99b109c46f5e91cb140444a95afd4d53
2690 00019696 2690 00019696 FB22DD01 000000000000020585 724900000001668 8001 0000019671 364399365d12a4a96a4b653cc75e6613 26d49c0f03dc0b5afd0aa4a952018b4b
7035 00022243 7035 00022243 7FB95886 000000000000005060 724900000006844 8001 0000017236 412a7348b63942900d0a975250bba526 69a0a1e38ed803933af224ea5241ff86
0912 00015408 0912 00015408 F234C8A0 000000000000003575 724900000009357 8001 0000006659 8eceef663653faafcd99ce34a0a1e3f9 af0bb4c30f93836096a89efc77e2abdc
6669 00007833 6669 00007833 895F1502 000000000000015455 724900000029379 8001 0000014816 2ae80f82fd46bc20ebe1bde7ff5e3b30 e8ec061ce42aeb85d425d07a699e4ce2
9797 00021369 9797 00021369 9A8164CA 000000000000028568 724900000017147 8001 0000014003 0e17aea4962ad43b47d6b14b78a52365 b21ec2ad391c20eac6cafd9611a92ba0
4078 00002582 4078 00002582 617FF393 000000000000015157 724900000022509 8001 0000004596 f0ab984ce365f252ca626b631b82b4f1 988033ebccd215e37595edd398525a65
6804 00015739 6804 00015739 FF36CC43 000000000000012241 724900000001050 8001 0000015778 36f1032583890e238294422c001a23fd 441622f8a5845be0b2b1dba596ae3702
8975 00032388 8975 00032388 FB6D964E 000000000000028554 724900000009318 8001 0000012778 a51ce088c5d74ac713c8ee758ce93f87 4925cd3e0de6f3b42daa85c4f7d6c8ae
2511 00009417 2511 00009417 E0EF9FBE 000000000000028533 724900000022921 8001 0000027844 5fd390ded53a729f480059b02524d6c1 2d46964e925be357e498f22abeed48e6
8543 00014926 8543 00014926 C7773FDD 000000000000031215 724900000026523 8001 0000004774 bf51724ec75a5fc282764653933c4b6c 8ec7bdf6aa2a0948abbf38fe0e1540a2
3826 00013262 3826 00013262 0FA5BA66 000000000000020486 724900000028441 8001 0000029335 9e4c343dce8b0a91b52c1cafc6da6525 e2c4dd04f8fec4e455ce364cf6a29480
3750 00020015 3750 00020015 AA511CC1 000000000000010086 724900000029112 8001 0000007930 be572935831a9df369328b8283a0c015 dbbb2e3816eb6535660c5882c5d4ba95
6283 00020439 6283 00020439 3C6F5138 000000000000002000 724900000010727 8001 0000025110 0eb23b4414bb08f8e1247293142f7f65 10ee42e25d1c75836252eeef6d50a7c2
9812 00011933 9812 00011933 46385905 000000000000008429 724900000018113 8001 0000026679 4dc528cb7e93e445fe736eedc85864f4 81e573a9bc40cdcb73f57fed49086f70
6521 00006475 6521 00006475 A36DE243 000000000000018894 724900000003653 8001 0000007298 2c0c74b408e79c3c6d205ea0ff414022 5013843c1b5a8df872f472b6fa50e3f1
9639 00006142 9639 00006142 6F0A5BEA 000000000000027418 724900000008494 8001 0000011674 c09df060d84aa0e6ed6891541225dd23 aa4ea4172f00c9b73843901598babf37
2327 00023077 2327 00023077 9C6E2A60 000000000000014964 724900000012431 8001 0000000599 a21d9db11a6eea34f11cc8c2932fa8b6 2913c924e681e82d4c5d9ffef315f204
2141 00026283 2141 00026283 CA370086 000000000000000165 724900000021293 8001 0000028601 6047da55c89b9f4b30a3447d2cb96ad4 cef148dc1fff157768011060775cf9f0
2486 00010820 2486 00010820 6EE42C21 000000000000016870 724900000022777 8001 0000027351 5fb29c79cd26b3c7e785dfdd35c2ff33 33cf7c3a16dea564b61128a2cd6c2a09
9405 00031737 9405 00031737 C42C3F1D 000000000000018948 724900000015751 8001 0000022904 f42f3b744942406c51c690719b3d6993 6f05ba78cf41a5d7825f63099ea8e071
9759 00018751 9759 00018751 E8D023FB 000000000000005742 724900000029406 8001 0000016137 73335f3f7b384840178310a48e090e25 be50025e616d022941c2748a5bc68b04
3855 00029618 3855 00029618 A44F7976 000000000000009738 724900000030869 8001 0000020696 d9bb8a2c92fdb445949a413761dd80b5 66cd96dc2b8ffe50c65c80998b818744
8659 00022879 8659 00022879 3BE4A977 000000000000016960 724900000000296 8001 0000025443 a85f82d6757cd18c8d4b99f82fdf57b8 fdd496d500af446ed046478829343544
6427 00020318 6427 00020318 B4E3E64B 000000000000024594 724900000025118 8001 0000023273 f3c8ed55b4a696ead2579dddfb2f71fc 616b6dc3b1fd869e0c3657dfdd591c2b
8776 00006618 8776 00006618 E85B3703 000000000000027545 724900000011701 8001 0000027645 d0da1bad5986282abab290784dca3a45 363c8a52dfb8c7c6dc80ba61e111be75
3390 00014438 3390 00014438 3B1ACAD3 000000000000031985 724900000014826 8001 0000030114 6c85eb26da764b24fb1eab43e6c8f8ac fd899f3a8e2f6a7c19f24405083553a7
6585 00024646 6585 00024646 90C2CC74 000000000000031779 724900000023606 8001 0000010600 c3d668442ab68233b6eb1d6eb9c6b383 47c151b14d0ddec9415f2988519dd20b
4578 00030251 4578 00030251 D1756C7C 000000000000001374 724900000007490 8001 0000019399 7e7c64a8534b5951baff0cd15a8b19d9 065bf92be80ba2919da186b673e4e255
6924 00027974 6924 00027974 E375E471 000000000000008432 724900000005988 8001 0000008197 1f31877136555346b949be8da0072071 8a64cce80b57ea09deee4208b0538395
9503 00000484 9503 00000484 286AE76A 000000000000018292 724900000009624 8001 0000019399 cf1130ec3247de441ddf0857cdff43b9 99217328d1f249fb90dbeda78183882b
0417 00019714 0417 00019714 A95649E5 000000000000004460 724900000023056 8001 0000018699 d9418fb2c6bc68234400ba42b416ee81 1db99e51a8c0f4c4472bd0cc4e2d5be8
0597 00005527 0597 00005527 7283B74D 000000000000012669 724900000009267 8001 0000024014 7d80df1b630388931af9f37a712c148b 3cda55d30f93247733d2c0e4e2c46f57
8855 00002787 8855 00002787 9ADAC385 000000000000012580 724900000027641 8001 0000016933 a1f4afdfac8c0bd7891eaae2f67ff976 bb527c39d17240d2fad89dae4377b325
4218 00015602 4218 00015602 9A0B7609 000000000000025185 724900000025600 8001 0000016526 8ebe13ab442664dc5aafc42f319338cc b99430443a5eb0abfd4a732e06388162
5428 00021236 5428 00021236 71957C64 000000000000012459 724900000010232 8001 0000027955 ff55e720004b0df6c3c68fa7a8a575fb c586c8bc3881528e2019911bbb0c1c7b
8079 00024828 8079 00024828 BEDD8206 000000000000025024 724900000017532 8001 0000024804 0e56f922b384d0c1fff7a487cdd3d524 6567331345b3efe14a96e4a042225033
3828 00025271 3828 00025271 85CDB03A 000000000000003938 724900000029192 8001 0000027070 48b927c985f3107b1385a00f10e3858f 46cbb8db02e15e82b7efea9e157797e7
6515 00031629 6515 00031629 F8FD39D1 000000000000014864 724900000008046 8001 0000014871 df701b8b2ed33340b7587933fb8f1944 3ec863125cbcda654d1ff01e5fb4ed45
3738 00007261 3738 00007261 F29A291D 000000000000002145 724900000021691 8001 0000029858 288e64fb31464cb3b967555cacc04e4f 3574c9eff4829c898c25ba8b5b08bd48
2104 00015069 2104 00015069 9F603BF3 000000000000000188 724900000029688 8001 0000012420 b3a082b3df9debcadba662866e76afe3 5a934408a45e5079034504c52dbd59fd
1124 00012227 1124 00012227 91DC9A60 000000000000007195 724900000004639 8001 0000031360 0e82022e8bd1aefd94be7da0ce5b94e4 c5690ba9b58242f0b988c9b28554e5b8
8879 00006237 8879 00006237 3F885640 000000000000029944 724900000012434 8001 0000002682 d0bb2edd091481a17bbe22c027a5e8e5 0d378084101cf689b3b7e6af82c084aa
8780 00026662 8780 00026662 ED621F53 000000000000016561 724900000009366 8001 0000019264 204aa76181a249d08b3fbdb5e4708b82 0023384987732c061e237252e241835c
1111 00017488 1111 00017488 1999CDA0 000000000000017319 724900000020851 8001 0000022626 4c31ba514048d3d0293e8700037445e9 cecae5b480103e194ea509abbb33b5f7
7809 00003151 7809 00003151 5A326EB4 000000000000002804 724900000021178 8001 0000021069 2659935250078b67f5c326396928005f 7a621203a907c632f479820c305e91d4
1336 00024104 1336 00024104 12BF43F2 000000000000009480 724900000028701 8001 0000013605 7183a6699ab65b34988212293f03ef59 711122bb4f87679bc3f0148830bddcea
4010 00026876 4010 00026876 728CDB67 000000000000020765 724900000010087 8001 0000013932 8e226c0520f5d5cb75dfc083684eb3da e48ae6938239213836e682488b86bb93
5462 00008789 5462 00008789 4413B30F 000000000000009954 724900000025479 8001 0000027285 ed9543c71b38b997fc9d0c9f98b8ef7f 07aee7d1f4c39e346e24c1de11efb51d
1090 00016028 1090 00016028 E9CAA217 000000000000020963 724900000027139 8001 0000000264 2c4a76438561440cea42f95e46cb678f a50bb138e0a3ac5f7efee4e56cfb141f
4734 00025178 4734 00025178 0731D43D 000000000000023535 724900000004150 8001 0000010378 efce0e1d2b2f743be17c5f76c037a1ff 2b50a5e8f143b5ec6eda447037a3234d
8716 00015634 8716 00015634 2D38B3A6 000000000000014434 724900000031033 8001 0000013733 1768a44918ba9ce9977e90f06b519a38 643b26f6e4d43edd56f8aa937b647fd7
4149 00020467 4149 00020467 27AC9B73 000000000000011281 724900000030230 8001 0000009459 d6ef6b6b40c3d1aa70546e535c5fbddb 1ebca9be7e7222a284cd7f302f15e417
5998 00012756 5998 00012756 FBAC6929 000000000000012726 724900000025894 8001 0000030570 a9714927ff46a2cb5b093deda7d59bf4 4314f49bd2101ded5c2c6fed4b8b0545
4131 00022159 4131 00022159 4CDE41FE 000000000000020223 724900000017127 8001 0000020084 74d0d70a4cbbe9dabae9bfecb3d11d59 30d975a0eb6202cddb6287ac8510975d
6928 00028962 6928 00028962 59ABF74F 000000000000008156 724900000005803 8001 0000009614 fa45ad427fd0d25c1a1e762925fb5886 04b3667119e95fb81352c27754ff37f4
0279 00003078 0279 00003078 CB8B1443 000000000000028772 724900000027367 8001 0000020064 69f5d1845d574969f25303f14b81db5e 0adf7b2371d1680d25c00bb446e2510f
1977 00002081 1977 00002081 E7582759 000000000000024205 724900000019245 8001 0000028387 4de1992ba82871500c5ca72ce4952402 4cb0df94164a366c15214b8592571b44
0272 00029574 0272 00029574 D906A50F 000000000000028682 724900000024984 8001 0000031049 ef9fafdffe6a86d79716de4edbf2b136 47e9ee2e7ab5699ba79eb7c8305e6ecb
9643 00012848 9643 00012848 F0F2B671 000000000000006251 724900000010240 8001 0000025083 f6755e2aa071f480d16d335ce54fcd87 b624c67c8a19166c2286497f6b51199a
9791 00027023 9791 00027023 8C5C9C2A 000000000000030938 724900000011045 8001 0000007548 c6f8da499e985f58432bb9cd2338a859 d5cbe5e61b60c6ea3e742af9d0bbf63c
9226 00022162 9226 00022162 F0F55CE9 000000000000000998 724900000006346 8001 0000008862 8ac03051aebd3201bb44c8c105a1b076 abb96254c860e96cafa819d91a6eb0e3
4242 00024391 4242 00024391 3540D98F 000000000000031818 724900000023027 8001 0000029748 d8e6edf60deacaab458eb23ec6a2d9c4 17899fd18ba68ee7447b9f5a43dcf3a2
3403 00011018 3403 00011018 952A862C 000000000000007340 724900000004117 8001 0000015611 a8791def425812730acf574c70883267 4aef07f7d83767d1e66610390c53f090
0723 00032372 0723 00032372 B313D7A8 000000000000011125 724900000013246 8001 0000004046 7f998e20581d5f8ff18e87af68eda510 2c02014744e1b2e84b77248aac61140e
2057 00017584 2057 00017584 2F6720F9 000000000000025672 724900000006935 8001 0000009434 2150f63247032f3905d3b244e0c6d25d 17e6dd6b47f687091fdd9a609c46ba98
7583 00008865 7583 00008865 370FAE1A 000000000000011646 724900000001714 8001 0000005394 cdc4646805971628c9bc7ee468245ae7 c565832b82013892fa197874f3f67dc0
